time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-02T17:31:06.660Z,17.8778,-66.8455,10,2.61,md,8,243,0.103,0.16,pr,pr2020062029,2020-03-02T17:52:34.040Z,"11km SE of Guanica, Puerto Rico",earthquake,0.92,0.7,0.25,4,reviewed,pr,pr
2020-03-02T17:30:41.030Z,32.7066667,-116.8663333,14.19,1.54,ml,24,86,0.07032,0.19,ci,ci39088735,2020-03-02T17:34:30.246Z,"2km SE of Jamul, CA",earthquake,0.42,0.56,0.188,23,automatic,ci,ci
2020-03-02T17:22:38.470Z,38.7963333,-122.7645035,1.51,0.33,md,10,80,0.005691,0.01,nc,nc73349035,2020-03-02T17:39:04.750Z,"2km NNW of The Geysers, CA",earthquake,0.47,0.7,0.23,2,automatic,nc,nc
2020-03-02T17:15:57.270Z,19.5,-155.4463348,0.05,2.38,ml,39,80,0.03117,0.23,hv,hv71409417,2020-03-02T17:21:31.350Z,"23km WNW of Volcano, Hawaii",earthquake,0.41,0.78,3,17,automatic,hv,hv
2020-03-02T17:15:32.280Z,17.8985,-66.8421,12,2.57,md,8,236,0.0851,0.17,pr,pr2020062028,2020-03-02T17:38:01.437Z,"10km SE of Guanica, Puerto Rico",earthquake,1.26,0.74,0.15,2,reviewed,pr,pr
2020-03-02T17:09:25.930Z,17.9038,-66.8341,12,2.45,md,7,235,0.0844,0.11,pr,pr2020062027,2020-03-02T17:26:45.206Z,"10km SE of Guanica, Puerto Rico",earthquake,0.91,0.58,0.33,2,reviewed,pr,pr
2020-03-02T17:06:13.515Z,-17.7578,-178.3508,533.04,4.5,mb,,93,3.427,0.7,us,us600087yy,2020-03-02T17:35:49.040Z,"283km ESE of Lambasa, Fiji",earthquake,15,10.5,0.059,85,reviewed,us,us
2020-03-02T16:45:22.620Z,17.8953,-66.8495,12,2.79,ml,8,238,0.0851,0.22,pr,pr2020062026,2020-03-02T17:01:05.744Z,"10km SE of Guanica, Puerto Rico",earthquake,1.5,0.97,0,0,reviewed,pr,pr
2020-03-02T16:40:40.680Z,19.2164993,-155.3911591,32.53,1.86,md,42,161,0.1067,0.11,hv,hv71409377,2020-03-02T16:44:03.610Z,"9km E of Pahala, Hawaii",earthquake,0.59,0.75,0.02,3,automatic,hv,hv
2020-03-02T16:40:17.750Z,38.8170013,-122.8176651,2.41,0.62,md,12,75,0.008713,0.03,nc,nc73349030,2020-03-02T16:59:03.498Z,"7km NW of The Geysers, CA",earthquake,0.37,0.65,0.35,2,automatic,nc,nc
2020-03-02T16:35:56.551Z,60.0755,-151.152,35.6,1.7,ml,,,,0.68,ak,ak0202ut22py,2020-03-02T16:44:03.049Z,"33km SSE of Cohoe, Alaska",earthquake,,2.3,,,automatic,ak,ak
2020-03-02T16:25:49.970Z,17.9006,-66.8436,13,2.34,md,8,236,0.0826,0.08,pr,pr2020062025,2020-03-02T16:39:45.593Z,"9km SSE of Maria Antonia, Puerto Rico",earthquake,0.91,0.43,0.33,6,reviewed,pr,pr
2020-03-02T16:25:49.720Z,19.2018337,-155.4420013,33.43,1.86,md,47,135,0.04994,0.11,hv,hv71409362,2020-03-02T16:29:01.490Z,"4km E of Pahala, Hawaii",earthquake,0.53,0.63,0.1,8,automatic,hv,hv
2020-03-02T16:19:22.780Z,38.8451653,-122.9639969,3.41,1.59,md,18,112,0.05921,0.02,nc,nc73349020,2020-03-02T18:20:02.999Z,"6km NE of Cloverdale, CA",earthquake,0.5,1.17,0.06,4,automatic,nc,nc
2020-03-02T16:17:53.070Z,19.2133331,-155.4214935,32.88,1.92,md,47,153,0.03305,0.13,hv,hv71409352,2020-03-02T16:21:04.510Z,"6km E of Pahala, Hawaii",earthquake,0.63,0.71,0.09,5,automatic,hv,hv
2020-03-02T16:09:41.110Z,38.821167,-122.8416672,2.1,1.02,md,14,63,0.01348,0.01,nc,nc73349015,2020-03-02T16:25:03.280Z,"9km WNW of The Geysers, CA",earthquake,0.25,0.64,0.12,2,automatic,nc,nc
2020-03-02T16:04:52.930Z,36.5429993,-121.1338348,6.18,2.24,md,24,112,0.05044,0.08,nc,nc73349010,2020-03-02T17:50:03.818Z,"2km NE of Pinnacles, CA",earthquake,0.28,0.74,0.15,25,automatic,nc,nc
2020-03-02T16:03:31.120Z,19.2203331,-155.4221649,33.26,2.12,md,53,139,0.02889,0.13,hv,hv71409327,2020-03-02T16:06:55.580Z,"6km ENE of Pahala, Hawaii",earthquake,0.56,0.73,0.15,22,automatic,hv,hv
2020-03-02T15:56:47.850Z,36.5416679,-121.1316681,6.66,3.05,ml,65,72,,0.18,nc,nc73349005,2020-03-02T18:16:07.087Z,"2km NE of Pinnacles, CA",earthquake,0.25,0.65,0.226,17,automatic,nc,nc
2020-03-02T15:45:41.430Z,17.8821,-66.8455,11,2.38,md,5,243,0.0989,0.11,pr,pr2020062024,2020-03-02T16:13:18.947Z,"11km SSE of Guanica, Puerto Rico",earthquake,0.91,0.69,0.16,3,reviewed,pr,pr
2020-03-02T15:45:13.305Z,61.8749,-149.2714,19.6,1.5,ml,,,,0.86,ak,ak0202usioxq,2020-03-02T16:02:04.295Z,"14km N of Fishhook, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-03-02T15:39:03.510Z,38.8530006,-122.7860031,1.43,0.57,md,11,181,0.008893,0.03,nc,nc73349000,2020-03-02T17:14:03.587Z,"6km WNW of Cobb, CA",earthquake,0.5,0.71,,1,automatic,nc,nc
2020-03-02T15:36:10.570Z,17.9175,-66.7393,10,2.78,md,8,240,0.1513,0.14,pr,pr2020062023,2020-03-02T15:51:25.040Z,"8km SSW of Tallaboa, Puerto Rico",earthquake,1.17,0.97,0.34,4,reviewed,pr,pr
2020-03-02T15:27:20.870Z,17.8998,-66.8421,12,2.43,md,8,236,0.0839,0.08,pr,pr2020062022,2020-03-02T15:44:16.133Z,"10km SE of Guanica, Puerto Rico",earthquake,1.14,0.45,0.33,4,reviewed,pr,pr
2020-03-02T15:22:50.060Z,33.4568333,-116.5553333,11.02,0.65,ml,24,77,0.05441,0.17,ci,ci39088703,2020-03-02T16:01:12.315Z,"16km SE of Anza, CA",earthquake,0.31,0.55,0.161,13,reviewed,ci,ci
2020-03-02T15:19:33.760Z,38.3426667,-112.1201667,5.42,2.1,ml,14,109,0.3049,0.16,uu,uu60361852,2020-03-02T17:36:36.360Z,"14km NE of Junction, Utah",earthquake,0.4,7.57,0.158,5,reviewed,uu,uu
2020-03-02T15:13:42.400Z,41.7691667,-112.3961667,10.35,0.57,md,6,109,0.1076,0.03,uu,uu60361847,2020-03-02T17:11:55.830Z,"19km W of Garland, Utah",earthquake,0.41,1.62,0.053,6,reviewed,uu,uu
2020-03-02T15:10:24.760Z,33.612,-116.9331667,6.96,0.64,ml,19,56,0.07346,0.15,ci,ci39088687,2020-03-02T16:01:20.349Z,"16km SSE of Hemet, CA",earthquake,0.27,0.72,0.105,12,reviewed,ci,ci
2020-03-02T15:06:27.110Z,35.7,-117.6043333,11.14,1.27,ml,14,129,0.1156,0.17,ci,ci39088679,2020-03-02T15:10:12.634Z,"11km NE of Ridgecrest, CA",earthquake,0.37,0.74,0.239,12,automatic,ci,ci
2020-03-02T15:05:24.574Z,60.7675,-149.6973,33.9,1.6,ml,,,,0.44,ak,ak0202usa561,2020-03-02T15:11:44.455Z,"51km SSE of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-03-02T15:04:01.170Z,-20.4356,-69.4447,88.99,4.2,ml,,155,0.444,0.65,us,us600087x2,2020-03-02T18:24:33.068Z,"76km ESE of Iquique, Chile",earthquake,7.9,8.7,0.069,28,reviewed,us,us
2020-03-02T15:03:43.741Z,60.2751,-151.1879,44.1,1.6,ml,,,,0.58,ak,ak0202us9r82,2020-03-02T15:11:43.952Z,"12km SSE of Cohoe, Alaska",earthquake,,1.9,,,automatic,ak,ak
2020-03-02T14:52:52.422Z,38.1813,38.8551,5,4.3,mb,,114,0.997,0.88,us,us600087wt,2020-03-02T15:19:12.040Z,"21km SW of Doganyol, Turkey",earthquake,4.1,1.9,0.237,5,reviewed,us,us
2020-03-02T14:50:37.120Z,38.5388336,-122.6561661,1.96,1.46,md,10,111,0.1495,0.05,nc,nc73348995,2020-03-02T16:44:03.406Z,"8km WSW of Calistoga, CA",earthquake,0.41,7.75,0.23,6,automatic,nc,nc
2020-03-02T14:49:52.180Z,33.6083333,-116.9333333,6.98,0.92,ml,29,55,0.07457,0.15,ci,ci39088663,2020-03-02T16:01:40.848Z,"16km SSE of Hemet, CA",earthquake,0.23,0.49,0.159,22,reviewed,ci,ci
2020-03-02T14:42:19.100Z,33.4503333,-116.5606667,9.7,0.99,ml,29,47,0.05624,0.15,ci,ci39088655,2020-03-02T16:02:14.000Z,"16km SE of Anza, CA",earthquake,0.21,0.4,0.167,26,reviewed,ci,ci
2020-03-02T14:33:42.860Z,38.7919998,-122.8143311,8.02,0.56,md,8,156,0.01623,0.08,nc,nc73348990,2020-03-02T16:15:05.214Z,"5km WNW of The Geysers, CA",earthquake,1.17,3.92,,1,automatic,nc,nc
2020-03-02T14:24:29.089Z,35.14283333,-95.36016667,7.87,1.81,ml,36,195,0.1070789874,0.21,ok,ok2020eiof,2020-03-02T14:40:58.454Z,"2km NNE of Quinton, Oklahoma",earthquake,,0.5,0.23,12,reviewed,ok,ok
2020-03-02T14:23:23.840Z,35.6568333,-117.564,6.23,1.25,ml,14,137,0.1559,0.23,ci,ci39088647,2020-03-02T14:27:11.835Z,"11km ENE of Ridgecrest, CA",earthquake,0.71,2.38,0.134,16,automatic,ci,ci
2020-03-02T14:16:53.500Z,35.8066673,-121.137001,-0.26,2.31,md,36,143,0.2287,0.18,nc,nc73348980,2020-03-02T15:47:03.032Z,"19km NNE of San Simeon, CA",earthquake,1.13,3.71,0.16,22,automatic,nc,nc
2020-03-02T14:16:37.880Z,19.2325001,-155.3991699,32.23,1.81,md,49,145,0.09562,0.12,hv,hv71409217,2020-03-02T14:19:46.940Z,"9km ENE of Pahala, Hawaii",earthquake,0.58,0.76,0.3,11,automatic,hv,hv
2020-03-02T14:13:55.750Z,19.1751671,-155.4896698,36.62,2.31,md,58,87,0.03263,0.11,hv,hv71409212,2020-03-02T14:17:18.890Z,"3km SSW of Pahala, Hawaii",earthquake,0.51,0.7,0.23,35,automatic,hv,hv
2020-03-02T14:12:45.773Z,62.22,-153.4783,0,3.4,ml,,,,0.7,ak,ak0202urq9iv,2020-03-02T16:04:59.040Z,"133km ESE of McGrath, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-03-02T14:09:10.611Z,64.7544,-147.9829,14.2,1.1,ml,,,,0.88,ak,ak0202urpjcl,2020-03-02T14:12:08.607Z,"10km S of Ester, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-03-02T14:07:16.820Z,17.8291,-66.8495,5,2.63,md,7,263,0.149,0.34,pr,pr2020062021,2020-03-02T14:27:48.858Z,"16km SSE of Guanica, Puerto Rico",earthquake,1.23,0.88,0.07,2,reviewed,pr,pr
2020-03-02T14:03:23.290Z,19.2264996,-155.4016724,32.18,2.24,md,57,142,0.01163,0.14,hv,hv71409197,2020-03-02T14:06:32.870Z,"8km ENE of Pahala, Hawaii",earthquake,0.51,0.72,0.24,28,automatic,hv,hv
2020-03-02T14:03:13.450Z,19.4091663,-155.2641602,0.41,2.02,ml,11,129,0.004978,0.23,hv,hv71409192,2020-03-02T14:08:48.260Z,"3km SW of Volcano, Hawaii",earthquake,0.59,0.19,0.52,4,automatic,hv,hv
2020-03-02T14:02:08.230Z,17.9855,-66.7163,17,2.15,md,7,206,0.1241,0.14,pr,pr2020062020,2020-03-02T14:23:19.931Z,"1km S of Tallaboa, Puerto Rico",earthquake,1.17,0.8,0.23,5,reviewed,pr,pr
2020-03-02T13:58:29.910Z,19.4274998,-155.263504,0.45,2.24,ml,26,121,0.003965,0.1,hv,hv71409187,2020-03-02T14:04:09.270Z,"2km W of Volcano, Hawaii",earthquake,0.16,0.18,1.8,18,automatic,hv,hv
2020-03-02T13:49:52.990Z,35.649,-117.4968333,1.48,1.71,ml,18,137,0.1642,0.2,ci,ci39088639,2020-03-02T13:53:45.394Z,"16km SSW of Searles Valley, CA",earthquake,0.42,0.97,0.176,26,automatic,ci,ci
2020-03-02T13:49:30.116Z,62.785,-152.2852,13.7,1.8,ml,,,,0.95,ak,ak0202urcpwz,2020-03-02T13:53:54.558Z,"123km WNW of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-03-02T13:43:22.869Z,50.679,-130.0114,10,4.2,mb,,163,1.778,0.61,us,us600087vh,2020-03-02T14:25:59.040Z,"183km W of Port Hardy, Canada",earthquake,7.3,2,0.042,158,reviewed,us,us
2020-03-02T13:43:18.010Z,40.6119,-116.1329,12.1,1.9,ml,7,103.01,0.355,0.1143,nn,nn00718133,2020-03-02T18:17:10.863Z,"11km SSW of Carlin, Nevada",earthquake,,16.3,0.42,5,reviewed,nn,nn
2020-03-02T13:37:09.980Z,19.1956673,-155.4170074,32.14,1.94,md,35,169,0.04552,0.14,hv,hv71409177,2020-03-02T13:40:23.690Z,"6km E of Pahala, Hawaii",earthquake,0.61,0.8,0.19,8,automatic,hv,hv
2020-03-02T13:35:38.320Z,17.8863,-66.8986,10,2.47,md,5,241,0.0909,0.06,pr,pr2020062019,2020-03-02T14:02:13.196Z,"9km S of Guanica, Puerto Rico",earthquake,0.68,0.65,0.02,3,reviewed,pr,pr
2020-03-02T13:27:50.130Z,32.792,-115.4426667,9.78,1.56,ml,21,71,0.01373,0.28,ci,ci39088631,2020-03-02T16:49:07.286Z,"6km WSW of Holtville, CA",earthquake,0.47,0.73,0.169,17,reviewed,ci,ci
2020-03-02T13:27:47.820Z,38.8276672,-122.795166,1.42,0.74,md,19,52,0.01137,0.02,nc,nc73348975,2020-03-02T14:05:02.389Z,"6km W of Cobb, CA",earthquake,0.21,0.51,0.15,2,automatic,nc,nc
2020-03-02T13:24:54.890Z,38.822834,-122.8426666,1.97,0.33,md,11,86,0.01205,0.02,nc,nc73348970,2020-03-02T15:29:02.926Z,"9km NW of The Geysers, CA",earthquake,0.34,0.75,0.24,2,automatic,nc,nc
2020-03-02T13:23:52.270Z,38.8273315,-122.8046646,1.94,0.56,md,10,81,0.005771,0.01,nc,nc73348965,2020-03-02T15:00:03.737Z,"7km NW of The Geysers, CA",earthquake,0.37,0.93,,1,automatic,nc,nc
2020-03-02T13:18:09.270Z,35.6671667,-117.5723333,14.49,1.37,ml,16,134,0.1472,0.19,ci,ci39088623,2020-03-02T13:21:53.167Z,"11km ENE of Ridgecrest, CA",earthquake,0.38,0.88,0.249,22,automatic,ci,ci
2020-03-02T13:01:23.650Z,19.1916676,-155.4603271,34.87,1.85,md,45,115,0.0361,0.12,hv,hv71409137,2020-03-02T13:04:46.450Z,"2km SE of Pahala, Hawaii",earthquake,0.62,0.67,0.16,9,automatic,hv,hv
2020-03-02T12:56:26.829Z,40.5756,-116.2838,8.9,3.5,ml,9,82.22,0.36,0.0677,nn,nn00718129,2020-03-02T18:08:51.685Z,"21km SW of Carlin, Nevada",earthquake,,13.3,0.15,7,reviewed,nn,nn
2020-03-02T12:49:43.555Z,58.3756,-154.4804,15.1,1.2,ml,,,,1.3,ak,ak0202uqrbbn,2020-03-02T12:59:53.771Z,"97km NNW of Larsen Bay, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-03-02T12:43:24.390Z,17.8493,-66.8708,12,1.89,md,4,253,0.1261,0.12,pr,pr2020062018,2020-03-02T12:55:06.417Z,"14km SSE of Guanica, Puerto Rico",earthquake,1.16,0.73,0.57,3,reviewed,pr,pr
2020-03-02T12:39:59.430Z,19.1946659,-155.4214935,33.38,2.41,ml,61,154,0.04827,0.12,hv,hv71409107,2020-03-02T12:45:33.630Z,"6km E of Pahala, Hawaii",earthquake,0.48,0.71,4.62,4,automatic,hv,hv
2020-03-02T12:38:31.852Z,64.4809,-149.4427,13.9,1.3,ml,,,,0.31,ak,ak0202uqoxjm,2020-03-02T12:50:01.050Z,"19km SW of North Nenana, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-03-02T12:34:28.804Z,31.3256,-103.5182,5,2.9,ml,,50,0.301,0.48,us,us600087uk,2020-03-02T14:38:01.627Z,"11km SSW of Pecos, Texas",earthquake,0.9,1.8,0.043,70,reviewed,us,us
2020-03-02T12:30:51.240Z,38.1618,-118.344,4.4,1.8,ml,9,138.54,0.139,0.11,nn,nn00718128,2020-03-02T12:58:07.492Z,"47km SSE of Hawthorne, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-03-02T12:28:22.871Z,60.008,-152.9185,112.1,2,ml,,,,0.41,ak,ak0202uqmrpx,2020-03-02T12:42:48.611Z,"54km S of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-03-02T12:28:22.010Z,19.5006676,-155.5769958,-2.3,1.99,ml,14,58,0.0245,0.17,hv,hv71409087,2020-03-02T12:33:54.400Z,"30km E of Honaunau-Napoopoo, Hawaii",earthquake,0.36,0.48,5.3,3,automatic,hv,hv
2020-03-02T12:20:43.100Z,19.1916676,-155.4703369,36.15,2.05,md,50,99,0.03689,0.11,hv,hv71409072,2020-03-02T12:23:55.430Z,"1km SE of Pahala, Hawaii",earthquake,0.47,0.6,0.35,18,automatic,hv,hv
2020-03-02T12:12:36.190Z,35.5101667,-118.3168333,11.24,1.12,ml,10,123,0.1464,0.13,ci,ci39088615,2020-03-02T16:02:20.987Z,"18km ESE of Bodfish, CA",earthquake,0.33,1.26,0.149,8,reviewed,ci,ci
2020-03-02T12:11:49.041Z,65.5505,-149.9805,2.8,1.7,ml,,,,0.62,ak,ak0202uqj6oa,2020-03-02T12:22:11.797Z,"68km NNE of Manley Hot Springs, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-03-02T12:04:51.870Z,33.0368333,-116.4261667,7.93,1.27,ml,47,31,0.06618,0.19,ci,ci39088607,2020-03-02T12:16:05.420Z,"17km ESE of Julian, CA",earthquake,0.23,1.04,0.188,29,automatic,ci,ci
2020-03-02T11:49:04.461Z,61.3593,-149.9486,34.8,1.6,ml,,,,0.65,ak,ak0202uq5spa,2020-03-02T11:52:24.576Z,"15km N of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-03-02T11:43:48.720Z,17.9911,-66.8168,20,2.22,md,6,180,0.0644,0.16,pr,pr2020062017,2020-03-02T11:59:30.909Z,"0km SE of Indios, Puerto Rico",earthquake,1.3,0.91,0.26,5,reviewed,pr,pr
2020-03-02T11:41:45.220Z,33.0365,-116.392,13.07,1.06,ml,24,59,0.06641,0.17,ci,ci39088599,2020-03-02T11:45:18.161Z,"20km ESE of Julian, CA",earthquake,0.27,0.82,0.182,7,automatic,ci,ci
2020-03-02T11:36:45.715Z,60.5397,-152.2346,17.9,0.7,ml,,,,0.22,ak,ak0202uq33n2,2020-03-02T11:41:12.074Z,"28km ENE of Redoubt Volcano, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-03-02T11:35:21.650Z,36.0494995,-120.6094971,5.73,0.81,md,13,95,0.02208,0.08,nc,nc73348935,2020-03-02T13:36:03.221Z,"23km NW of Parkfield, CA",earthquake,0.64,0.79,0.1,3,automatic,nc,nc
2020-03-02T11:28:54.070Z,17.8703,-66.8968,11,2.11,md,5,246,0.1063,0.19,pr,pr2020062016,2020-03-02T11:46:16.174Z,"11km S of Guanica, Puerto Rico",earthquake,1.32,0.83,0.04,3,reviewed,pr,pr
2020-03-02T11:25:22.420Z,19.2356663,-155.4233398,31.74,2.22,ml,51,120,0.02448,0.17,hv,hv71408997,2020-03-02T11:32:18.310Z,"6km ENE of Pahala, Hawaii",earthquake,0.53,0.76,0.18,3,automatic,hv,hv
2020-03-02T11:24:06.276Z,60.0348,-152.7073,95.2,1.6,ml,,,,0.46,ak,ak0202uq0g3a,2020-03-02T11:27:59.110Z,"50km S of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-03-02T11:21:37.550Z,17.8293,-66.8288,13,2.31,md,7,260,0.1543,0.09,pr,pr2020062015,2020-03-02T11:36:37.679Z,"17km SSE of Guanica, Puerto Rico",earthquake,0.93,0.4,0.21,3,reviewed,pr,pr
2020-03-02T11:14:12.730Z,35.5115,-118.3298333,1.79,1.02,ml,10,87,0.1566,0.21,ci,ci39088591,2020-03-02T16:09:34.903Z,"17km ESE of Bodfish, CA",earthquake,0.47,1.5,0.073,11,reviewed,ci,ci
2020-03-02T11:07:14.870Z,35.5115,-118.3296667,3.79,1.94,ml,22,70,0.1565,0.19,ci,ci39088583,2020-03-02T16:10:20.320Z,"17km ESE of Bodfish, CA",earthquake,0.26,0.98,0.206,26,reviewed,ci,ci
2020-03-02T11:04:54.747Z,60.1711,-153.0611,137.4,2.3,ml,,,,0.14,ak,ak0202upw9cy,2020-03-02T11:08:13.604Z,"39km SSW of Redoubt Volcano, Alaska",earthquake,,1.2,,,automatic,ak,ak
2020-03-02T11:04:46.889Z,61.3738,-151.712,91.3,2,ml,,,,0.52,ak,ak0202upw8qv,2020-03-02T11:16:46.552Z,"79km NNW of Nikiski, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-03-02T10:59:27.900Z,32.8058319,-115.4544983,10.76,2.09,ml,38,48,0.006512,0.26,ci,ci39088575,2020-03-02T11:03:21.316Z,"7km W of Holtville, CA",earthquake,0.32,0.58,0.237,28,automatic,ci,ci
2020-03-02T10:59:17.834Z,59.735,-152.3674,77,1.5,ml,,,,0.36,ak,ak0202upmjaj,2020-03-02T11:10:54.568Z,"30km W of Anchor Point, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-03-02T10:41:44.900Z,17.9941,-66.831,14,2.69,md,7,171,0.0518,0.25,pr,pr2020062014,2020-03-02T10:57:04.186Z,"1km W of Indios, Puerto Rico",earthquake,1.67,1.27,0.13,4,reviewed,pr,pr
2020-03-02T10:34:39.655Z,61.5835,-146.5087,29.9,1.9,ml,,,,0.77,ak,ak0202uph82j,2020-03-02T10:39:16.863Z,"51km N of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-03-02T10:25:56.610Z,17.9285,-66.8188,12,2.06,md,6,249,0.0763,0.05,pr,pr2020062013,2020-03-02T10:50:07.580Z,"7km S of Indios, Puerto Rico",earthquake,0.96,0.45,0.32,4,reviewed,pr,pr
2020-03-02T10:11:53.260Z,33.255,-116.821,14.68,0.91,ml,36,35,0.0555,0.15,ci,ci39088567,2020-03-02T16:09:49.709Z,"6km WNW of Lake Henshaw, CA",earthquake,0.2,0.49,0.143,23,reviewed,ci,ci
2020-03-02T09:55:38.630Z,33.5825,-116.8125,4.62,1.54,ml,64,20,0.04191,0.18,ci,ci39088559,2020-03-02T16:10:30.160Z,"13km WNW of Anza, CA",earthquake,0.17,0.35,0.117,26,reviewed,ci,ci
2020-03-02T09:43:35.896Z,65.2413,-163.0699,0,1.8,ml,,,,0.7,ak,ak0202uoxpoh,2020-03-02T09:55:48.072Z,"138km NE of Nome, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-03-02T09:39:41.720Z,38.836834,-122.8181686,2.08,0.56,md,7,164,0.01483,0.02,nc,nc73348905,2020-03-02T11:03:05.267Z,"8km WNW of Cobb, CA",earthquake,0.53,1.61,,1,automatic,nc,nc
2020-03-02T09:32:59.040Z,17.9215,-66.828,10,1.86,ml,5,228,0.0741,0.13,pr,pr2020062012,2020-03-02T09:55:55.854Z,"8km S of Indios, Puerto Rico",earthquake,1.17,0.77,0,0,reviewed,pr,pr
2020-03-02T09:30:45.790Z,38.8040009,-122.777832,3.75,0.62,md,10,90,0.01421,0.01,nc,nc73348900,2020-03-02T10:35:03.096Z,"4km NNW of The Geysers, CA",earthquake,0.47,1.18,0.35,2,automatic,nc,nc
2020-03-02T09:26:57.496Z,51.5715,-177.2009,73.07,4,mb,,191,0.282,0.8,us,us600087ta,2020-03-02T17:29:24.389Z,"50km SW of Adak, Alaska",earthquake,6.5,6.6,0.09,33,reviewed,us,us
2020-03-02T08:39:12.390Z,34.335,-117.83,10.14,0.87,ml,7,95,0.1237,0.04,ci,ci39088551,2020-03-02T16:10:20.391Z,"18km SSW of Llano, CA",earthquake,0.2,0.8,0.281,13,reviewed,ci,ci
2020-03-02T08:35:15.222Z,61.3602,-150.0151,36,1.5,ml,,,,0.34,ak,ak0202uoaioj,2020-03-02T08:39:23.233Z,"16km NNW of Anchorage, Alaska",earthquake,,1,,,automatic,ak,ak
2020-03-02T08:32:01.430Z,19.5109997,-155.428833,1.84,1.73,md,15,125,0.0321,0.37,hv,hv71408752,2020-03-02T08:35:16.090Z,"21km WNW of Volcano, Hawaii",earthquake,0.91,2.58,0.19,3,automatic,hv,hv
2020-03-02T08:22:47.690Z,46.889,-112.5215,12.58,1.28,ml,10,115,0.099,0.1,mb,mb80383569,2020-03-02T16:48:41.030Z,"14km ESE of Lincoln, Montana",earthquake,0.59,0.42,0.196,3,reviewed,mb,mb
